recordID,stopID,stopNumber,lat,lon,backuplat,backuplon,id,bearing,duration,center,padding,zoom,pitch,personRank,dogRank,walkRank,weather,newPath,imageDescript,personText,dogText,walkText
R_6dMNnK8veseggkL,F_2zkfKqQINuPXSze,Stop #1,42.96110121533275,-89.50964131,42.96151389,-89.51001111,1,104.9638519,2000,"[-89.3,43.1]",20,18,40,4,5,5,N/A,/img/R_6dMNnK8veseggkL/IMG_9863.jpeg,Prairie Moraine Dog Park,"We are blessed to have so many wonderful dog parks in Dane County. Prairie Moraine is probably the largest, which gives us a great opportunity to get some exercise, while also walking Izzy.","This is a BIG dog park, with different terrain. It gives Izzy the opportunity to tire herself out.","Off-leash, large area and different terrains make it interesting for dogs."
R_6dMNnK8veseggkL,F_2EglJARilqkxqXs,Stop #2,42.96110121533275,-89.50964131,42.96105278,-89.50956667,2,90.22547914,2000,"[-89.3,43.1]",20,19,60,3,4,1,N/A,/img/R_6dMNnK8veseggkL/IMG_9865.jpeg,Wide open area for dogs to ''do their business''.,A dog has to do what a dog has to do.,A wide open area allows a dog to ''have some privacy''.,"A wide open space allows a dog to find an area away from other dogs, so they don't feel vulnerable when doing their business."
R_6dMNnK8veseggkL,F_3mf357rmO2BRz7q,Stop #3,42.96110121533275,-89.50964131,42.96049021,-89.50944328,3,21.28358649,2000,"[-89.3,43.1]",20,17,45,5,3,5,N/A,/img/R_6dMNnK8veseggkL/IMG_9866.jpeg,Trash cans to throw dog waste,We always ''do the right thing'' by cleaning up after Izzy. Being able to do so makes us feel like better citizens.,I don't really think Izzy cares where we dispose of her poop!,Having trash cans around to dispose of waste is a big plus!
R_6dMNnK8veseggkL,F_1mrRwSKE1J641aW,Stop #4,42.95906181447208,-89.50947569,42.95851111,-89.50890278,5,109.2223015,2000,"[-89.3,43.1]",20,18.5,40,5,5,5,N/A,/img/R_6dMNnK8veseggkL/IMG_9871.jpeg,Wide open space with different terrains and hills,"We love being outdoors and walking/hiking. A large, diverse dog park such as Prairie Moraine allows us to enjoy that, while walking Izzy too.",Izzy loves to roam and run. Providing such a space as this allows her to do whatever she's feeling.,Dogs just wanna have fun...
R_6dMNnK8veseggkL,F_3rHxYXyL2E5e47h,Stop #4,42.958096554502845,-89.50737024,42.9581,-89.50719444,4,218.429123,2000,"[-89.3,43.1]",20,18,60,4,5,5,N/A,/img/R_6dMNnK8veseggkL/IMG_9874.jpeg,Off-leash dog parks allow dogs to socialize on their terms,An at ease dog makes an at ease dog owner.,An off-leash dog is a more confident dog. Not all dogs are great at ''playing well with others''. Not being encumbered by a leash gives them an out.,Dogs just want to be free...
R_6dMNnK8veseggkL,F_1mPGBi72BTQ72BI,Stop #6,42.95869988389313,-89.5031279,42.95889167,-89.503075,6,222.1453246,2000,"[-89.3,43.1]",20,19,50,5,5,5,N/A,/img/R_6dMNnK8veseggkL/IMG_9876.jpeg,Shade,"It gets hot out there! If walking the full ~2-miles, we need some shade.","Izzy is the most heat intolerant dog we've ever owned. She will seek out shade, and generally plop down in the shaded grass to cool down.",Dogs can suffer heat exhaustion as well as humans. It is extremely important to have ''natural cooling stations''.
R_6dMNnK8veseggkL,F_24kPArqj1gflPoM,Stop #7,42.95896005816758,-89.50314282,42.95946389,-89.50341111,7,49.18189618,2000,"[-89.3,43.1]",20,19.5,55,4,4,4,N/A,/img/R_6dMNnK8veseggkL/IMG_9880.jpeg,Varied Terrain,We enjoy variety while walking/hiking.,I have to assume that Izzy likes variety too.,Mixing it up provides more mental stimulation.
